Designator,Footprint,Quantity,Value,LCSC Part #
"CAN_BUS1, CAN_BUS2, CAN_BUS3, CAN_BUS4, CAN_BUS5, CAN_BUS6, CAN_BUS7, CAN_BUS8",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,8,CAN_BUS,
D1,LED_D5.0mm,1,LED,
ENC1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ENC1,
ENC2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ENC2,
ENC3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ENC3,
ENC4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ENC4,
"J1, J2, J3, J4",PinSocket_1x19_P2.54mm_Vertical,4,Conn_01x19_Socket,
"J12, J13",AMASS_XT60-M_1x02_P7.20mm_Vertical,2,XT60-M,
MD1,PinHeader_1x04_P2.54mm_Vertical,1,MD1,
MD2,PinHeader_1x04_P2.54mm_Vertical,1,MD2,
MD3,PinHeader_1x04_P2.54mm_Vertical,1,MD3,
MD4,PinHeader_1x04_P2.54mm_Vertical,1,MD4,
MD5,PinHeader_1x04_P2.54mm_Vertical,1,MD5,
MD6,PinHeader_1x04_P2.54mm_Vertical,1,MD6,
MD7,PinHeader_1x04_P2.54mm_Vertical,1,MD7,
MD8,PinHeader_1x04_P2.54mm_Vertical,1,MD8,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,120,
R120,PinHeader_1x02_P2.54mm_Vertical,1,R120,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330,
SERVO1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo1,
SERVO2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo2,
SERVO3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo3,
SERVO4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo4,
SERVO5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo5,
SERVO6,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo6,
SERVO7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo7,
SERVO8,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo8,
SV1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SV1,
SV2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SV2,
SV3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SV3,
SV4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SV4,
SV5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SV5,
SV6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SV6,
SV7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SV7,
SW1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW1,
SW2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW2,
SW3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW3,
SW4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW4,
SW5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW5,
SW6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW6,
"SW7, SW8",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,SW7,
U1,DIP-8_W7.62mm,1,~,
U2,DIP-16_W7.62mm,1,~,
VMD1/VMD2,PinHeader_1x11_P2.54mm_Vertical,1,VMD1/VMD2,
VMD3/VMD4,PinHeader_1x11_P2.54mm_Vertical,1,VMD3/VMD4,
