Designator,Mid X,Mid Y,Rotation,Layer
CAN_BUS1,25.654,-4.064,90.0,top
CAN_BUS2,32.512,-4.064,90.0,top
CAN_BUS3,39.37,-4.064,90.0,top
CAN_BUS4,46.228,-4.064,90.0,top
CAN_BUS5,53.086,-4.064,90.0,top
CAN_BUS6,59.944,-4.064,90.0,top
CAN_BUS7,66.802,-4.064,90.0,top
CAN_BUS8,73.66,-4.064,90.0,top
D1,76.2,-92.964,0.0,top
ENC1,47.72,-15.554,90.0,top
ENC2,55.52,-15.554,90.0,top
ENC3,63.32,-15.554,90.0,top
ENC4,71.12,-15.554,90.0,top
J1,35.56,-72.654,0.0,top
J12,16.51,-82.804,0.0,top
J13,79.8,-82.804,0.0,top
J2,31.75,-72.644,0.0,top
J3,60.96,-72.654,0.0,top
J4,64.77,-72.644,0.0,top
MD1,14.86,-15.574,0.0,top
MD2,18.7243,-15.574,0.0,top
MD3,22.5886,-15.574,0.0,top
MD4,26.4529,-15.574,0.0,top
MD5,30.3171,-15.574,0.0,top
MD6,34.1814,-15.574,0.0,top
MD7,38.0457,-15.574,0.0,top
MD8,41.91,-15.574,0.0,top
R1,9.144,-15.574,90.0,top
R120,16.51,-4.064,0.0,top
R2,68.58,-89.154,90.0,top
SERVO1,11.176,-71.414,90.0,top
SERVO2,11.176,-59.984,90.0,top
SERVO3,11.176,-48.554,90.0,top
SERVO4,11.176,-37.124,90.0,top
SERVO5,25.4,-71.414,90.0,top
SERVO6,25.4,-59.984,90.0,top
SERVO7,25.4,-48.554,90.0,top
SERVO8,25.4,-37.124,90.0,top
SV1,24.13,-26.944,90.0,top
SV2,32.0217,-26.944,90.0,top
SV3,39.9133,-26.944,90.0,top
SV4,47.805,-26.944,90.0,top
SV5,55.6967,-26.944,90.0,top
SV6,63.5883,-26.944,90.0,top
SV7,71.48,-26.944,90.0,top
SW1,74.91,-37.084,0.0,top
SW2,74.91,-44.8797,0.0,top
SW3,74.91,-52.6754,0.0,top
SW4,74.91,-60.4711,0.0,top
SW5,84.141,-37.0736,0.0,top
SW6,84.141,-44.8693,0.0,top
SW7,84.141,-52.665,0.0,top
SW8,84.141,-60.4607,0.0,top
U1,62.23,-37.079,90.0,top
U2,44.45,-37.084,90.0,top
VMD1/VMD2,1.27,-71.374,0.0,top
VMD3/VMD4,95.25,-25.654,180.0,top
