Designator,Mid X,Mid Y,Rotation,Layer
C10,5.62,-22.26,0.0,top
C11,9.62,-29.26,270.0,top
C3,8.62,-24.26,270.0,top
C4,23.62,-33.26,0.0,top
C5,22.62,-40.26,0.0,top
C6,5.62,-21.26,0.0,top
C7,23.62,-32.26,0.0,top
C8,20.62,-32.26,270.0,top
C9,8.62,-21.26,180.0,top
D1,12.536,-41.464,90.0,top
D2,14.986,-41.464,90.0,top
D3,6.62,-39.26,0.0,top
D4,17.436,-41.464,90.0,top
D5,21.59,-35.56,270.0,top
D6,7.62,-33.782,0.0,top
D7,7.62,-36.83,0.0,top
J1,2.54,-25.4,180.0,bottom
J2,15.24,-48.26,0.0,top
J3,27.94,-25.4,180.0,bottom
Q1,23.368,-29.21,180.0,top
Q2,23.368,-22.86,180.0,top
R1,7.62,-32.26,180.0,top
R17,4.62,-42.26,90.0,top
R18,20.62,-29.26,90.0,top
R2,4.62,-34.26,270.0,top
R3,19.62,-41.26,90.0,top
R4,10.62,-41.26,90.0,top
R5,20.62,-24.26,90.0,top
R6,22.62,-25.26,0.0,top
SW1,22.86,-45.785,90.0,top
SW2,7.62,-45.72,90.0,top
U1,14.605,-35.2375,90.0,top
U10,15.34,-6.35,0.0,top
U11,15.24,-25.4,180.0,top
