Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D8.0mm_P3.50mm,1,330μF,
"C10, C11",C_Disc_D11.0mm_W5.0mm_P5.0mm_kai,2,1.5μF,
"C2, C4, C6, C7, C8, C9",C_Disc_D11.0mm_W5.0mm_P5.0mm_kai,6,0.1μF,
"C3, C5",CP_Radial_D5.0mm_P2.00mm,2,33μF,
D1,LED_D5.0mm,1,PWM_IN,
D2,LED_D5.0mm,1,5V/2,
D3,LED_D5.0mm,1,12V,
"D4, D5",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148DO35-7,
"FET1, FET2, FET3, FET4",PG-TO220-3_INF,4,IRLB3813PBF,
"IC1_NOT1, IC2_AND1",DIP-14_W7.62mm,2,~,
"IC3, IC4, TLP2630",DIP-8_W7.62mm,3,~,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J3, J4",AMASS_XT60-M,2,XT60-M,
"R1, R2, R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_kai,5,200Ω,
"R10, R11, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_kai,4,10kΩ,
"R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_kai,2,330Ω,
REFG5V1,PG-TO220-3_INF,1,L7805,
REG12V1,PG-TO220-3_INF,1,L7812,
