Designator,Mid X,Mid Y,Rotation,Layer
C1,110.97,-162.56,0.0,top
C10,93.512,-140.97,0.0,top
C11,102.2275,-140.9765,0.0,top
C2,111.4985,-155.4545,0.0,top
C3,118.475,-158.75,0.0,top
C4,111.2595,-144.3925,180.0,top
C5,118.662888,-144.018,0.0,top
C6,120.102,-165.354,0.0,top
C7,116.205,-129.58,90.0,top
C8,101.219,-129.58,90.0,top
C9,103.6245,-103.632,0.0,top
D1,91.567,-109.982,180.0,top
D2,124.973,-148.844,180.0,top
D3,124.968,-155.448,180.0,top
D4,92.6084,-137.16,0.0,top
D5,102.0826,-137.16,0.0,top
FET1,102.87,-160.916,270.0,top
FET2,93.853,-160.909,270.0,top
FET3,102.7303,-149.098,270.0,top
FET4,93.853,-149.098,270.0,top
IC1_NOT1,97.155,-119.38,270.0,top
IC2_AND1,117.094,-119.38,270.0,top
IC3,93.853,-129.794,270.0,top
IC4,108.712,-129.799,270.0,top
J1,93.726,-102.616,270.0,top
J3,97.663,-172.72,180.0,top
J4,117.348,-172.72,180.0,top
R1,96.52,-109.263,270.0,top
R10,99.2759,-148.887,270.0,top
R11,90.4,-148.887,270.0,top
R2,124.23,-135.6362,90.0,top
R3,119.912,-135.3822,90.0,top
R4,104.09,-107.672,180.0,top
R5,104.09,-111.99,180.0,top
R6,121.261,-108.415,270.0,top
R7,125.73,-108.415,270.0,top
R8,99.4297,-160.959,270.0,top
R9,90.4,-161.086,270.0,top
REFG5V1,112.522,-138.684,0.0,top
REG12V1,112.014,-151.638,0.0,top
TLP2630,114.173,-108.458,0.0,top
