Designator,Mid X,Mid Y,Rotation,Layer
C1,154.15,-132.08,0.0,top
C10,129.54,-96.56,90.0,top
C11,154.94,-96.48,90.0,top
C2,167.68,-134.62,0.0,top
C3,171.18,-124.46,0.0,top
C4,154.98,-114.3,180.0,top
C5,171.18,-114.3,0.0,top
C6,170.22,-106.68,0.0,top
C7,165.1,-83.86,90.0,top
C8,134.62,-83.78,90.0,top
C9,149.9,-60.96,0.0,top
D1,115.57,-71.12,180.0,top
D2,173.99,-88.9,180.0,top
D3,173.99,-99.06,180.0,top
D4,124.46,-96.52,90.0,top
D5,149.86,-96.52,90.0,top
FET1,143.51,-127.0,270.0,top
FET2,127.0,-127.0,270.0,top
FET3,143.51,-111.76,270.0,top
FET4,127.0,-111.76,270.0,top
IC1_NOT1,119.38,-82.55,270.0,top
IC2_AND1,149.86,-82.55,270.0,top
IC3,115.57,-96.525,270.0,top
IC4,140.97,-96.525,270.0,top
J1,133.35,-63.5,270.0,top
J2,163.83,-72.39,90.0,top
J3,129.96,-142.24,180.0,top
J4,148.8,-142.24,180.0,top
R1,124.46,-68.58,270.0,top
R10,137.16,-111.76,270.0,top
R11,119.38,-111.76,270.0,top
R2,167.64,-96.52,90.0,top
R3,162.56,-96.52,90.0,top
R4,134.62,-68.58,180.0,top
R5,134.62,-72.63,180.0,top
R6,162.56,-60.96,180.0,top
R7,162.56,-66.04,180.0,top
R8,137.16,-127.0,270.0,top
R9,119.38,-127.0,270.0,top
REFG5V1,157.48,-109.22,0.0,top
REG12V1,157.48,-121.92,0.0,top
TLP2630,149.865,-69.85,0.0,top
