Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11",01005,2,100nF,
C3,0603,1,22uF/10V(20%),
"C4, C6, C7",01005,3,0.1uF/50V(10%),
C5,01005,1,0.1uF/50V(10%)(NC),
"C8, C9",0201,2,22uF/10V(20%),
"D1, D2, D4",D_SOD-523,3,LESD5D5.0CT1G,
D3,D_SOD-323,1,BAT760-7,
"D5, D6, D7",0603,3,LED,
"J1, J3",PinHeader_1x19_P2.54mm_Vertical,2,Conn_01x19_Pin,
J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
"Q1, Q2",SOT-23-3,2,SS8050-G,
"R1, R2",0402,2,1K,
"R17, R5, R6",0402,3,10K(5%),
R18,0402,1,2K(5%),
"R3, R4",0402,2,5.1K,
"SW1, SW2",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,
U1,JEITA_SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U10,ESP32-WROOM-32E,1,ESP32-WROOM-32E,
U11,SOT-223,1,AMS1117-3.3,
