Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",0603,3,10uF,
"C2, C3, C6, C7, C8",0603,5,100nF,
C9,0603,1,1uF,
"D1, D3, D4",0603,3,LED,
D2,D_SMA,1,SS14,
"D5, D6, D8",D_SOD-523,3,LESD5D5.0CT1G,
"J1, J3",PinHeader_1x22_P2.54mm_Vertical,2,Conn_01x22_Pin,
J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2",0603,2,5.1k,
"R3, R4",0402,2,5.1K,
R5,0603,1,10k,
R6,0603,1,330,
"SW1, SW2",SW_SPST_TS-1088-xR020,2,SW_Push,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
