Designator,Mid X,Mid Y,Rotation,Layer
C1,78.638,-121.606,180.0,top
C2,78.638,-119.096,180.0,top
C3,78.638,-116.586,180.0,top
C4,78.638,-114.076,180.0,top
C5,79.756,-98.806,0.0,top
C6,79.756,-100.33,0.0,top
C7,81.026,-109.22,180.0,top
C8,89.154,-109.22,180.0,top
C9,92.1,-119.647,270.0,top
D1,90.6647,-98.806,0.0,top
D2,79.248,-129.286,0.0,top
D3,86.8425,-122.936,180.0,top
D4,86.8425,-112.776,180.0,top
D5,90.93,-124.714,0.0,top
D6,90.93,-126.238,0.0,top
D8,90.93,-127.762,0.0,top
J1,73.66,-105.41,0.0,bottom
J2,85.09,-135.89,0.0,top
J3,96.52,-105.41,0.0,bottom
R1,82.098,-122.936,0.0,top
R2,82.098,-112.776,0.0,top
R3,90.928,-130.302,0.0,top
R4,90.932,-129.286,0.0,top
R5,90.576,-119.634,270.0,top
R6,90.678,-100.33,0.0,top
SW1,80.965,-106.68,0.0,top
SW2,89.154,-106.68,0.0,top
U1,85.09,-83.35,0.0,top
U2,84.988,-117.856,180.0,top
